lays,1010100111,5.0,100
oreo,1010100112,10.0,50
milk,1010100113,25.0,30
bread,1010100114,20.0,40
eggs,1010100115,6.0,200
sugar,1010100116,45.0,25
rice,1010100117,60.0,100
salt,1010100118,15.0,80
oil,1010100119,120.0,35
soap,1010100120,35.0,60
toothpaste,1010100121,55.0,45
tea,1010100122,90.0,70
coffee,1010100123,120.0,50
biscuit,1010100124,8.0,150
noodles,1010100125,12.0,90
butter,1010100126,52.0,40
cheese,1010100127,75.0,30
shampoo,1010100128,95.0,20
detergent,1010100129,150.0,25
juice,1010100130,35.0,60
chips,101010011111,5.0,1000
basmati rice,100100100001,50.0,30
ice,11101001110,50.0,90
